Topic,Date Range,Title,First Author,Last Author,Summary,PDF
,,Fano resonances and fluorescence enhancement of a dipole emitter near a plasmonic nanoshell,Tiago J. Arruda,Philippe W. Courteille,"We analytically study the spontaneous emission of a single optical dipole emitter in the vicinity of a plasmonic nanoshell, based on the Lorenz-Mie theory. We show that the fluorescence enhancement due to the coupling between optical emitter and sphere can be tuned by the aspect ratio of the core-shell nanosphere and by the distance between the quantum emitter and its surface. In particular, we de…                     We analytically study the spontaneous emission of a single optical dipole emitter in the vicinity of a plasmonic nanoshell, based on the Lorenz-Mie theory. We show that the fluorescence enhancement due to the coupling between optical emitter and sphere can be tuned by the aspect ratio of the core-shell nanosphere and by the distance between the quantum emitter and its surface. In particular, we demonstrate that both the enhancement and quenching of the fluorescence intensity are associated with plasmonic Fano resonances induced by near- and far-field interactions. These Fano resonances have asymmetry parameters whose signs depend on the orientation of the dipole with respect to the spherical nanoshell. We also show that if the atomic dipole is oriented tangentially to the nanoshell, the interaction exhibits saddle points in the near-field energy flow. This results in a Lorentzian fluorescence enhancement response in the near field and a Fano line-shape in the far field. The signatures of this interaction may have interesting applications for sensing the presence and the orientation of optical emitters in close proximity to plasmonic nanoshells.",https://arxiv.org/pdf/1706.04856
,,Inequivalence between gravitational mass and energy due to quantum effects at microscopic and macroscopic levels,Andrei G. Lebed,Andrei G. Lebed,"We review recent theoretical results, demonstrating breakdown of the equivalence between active and passive gravitational masses and energy due to quantum effects in General Relativity. In particular, we discuss the simplest composite quantum body - a hydrogen atom - and define its gravitational masses operators. Using Gedanken experiment, we show that the famous Einstein's equation, $E =mc^2$, is…                     We review recent theoretical results, demonstrating breakdown of the equivalence between active and passive gravitational masses and energy due to quantum effects in General Relativity. In particular, we discuss the simplest composite quantum body - a hydrogen atom - and define its gravitational masses operators. Using Gedanken experiment, we show that the famous Einstein's equation, $E =mc^2$, is broken with small probability for passive gravitational mass of the atom. It is important that the expectation values of both active and passive gravitational masses satisfy the above mentioned equation for stationary quantum states. Nevertheless, we stress that, for quantum superpositions of stationary states in a hydrogen atom, where the expectation values of energy are constant, the expectation values of the masses oscillate in time and, thus, break the Einstein's equation. We briefly discuss experimental possibility to observe the above-mentioned time-dependent oscillations. In this review, we also improve several drawbacks of the original pioneering works.",https://arxiv.org/pdf/1711.00116
,,Stability of the Yang-Mills heat equation for finite action,Leonard Gross,Leonard Gross,"The existence and uniqueness of solutions to the Yang-Mills heat equation over domains in Euclidean three space was proven in a previous paper for initial data lying in the Sobolev space of order one-half, which is the critical Sobolev index for this equation. In the present paper the stability of these solutions will be established. The variational equation, which is only weakly parabolic, and ha…                     The existence and uniqueness of solutions to the Yang-Mills heat equation over domains in Euclidean three space was proven in a previous paper for initial data lying in the Sobolev space of order one-half, which is the critical Sobolev index for this equation. In the present paper the stability of these solutions will be established. The variational equation, which is only weakly parabolic, and has highly singular coefficients, will be shown to have unique strong solutions up to addition of a vertical solution. Initial data will be taken to be in Sobolev class one-half. The proof relies on an infinitesimal version of the ZDS procedure: one solves first an augmented, strictly parabolic version of the variational equation and then adds to the solution a function which is vertical along the original path. Energy inequalities and Neumann domination techniques will be used to establish apriori initial behavior for solutions.",https://arxiv.org/pdf/1711.00114
,,A higher rank extension of the Askey-Wilson Algebra,Sarah Post,Anthony Walter,"A novel generalization of the Askey-Wilson algebra is presented and shown to be associated with coproducts in the quantum algebra $U_q(su(1,1))$. This algebra has 15 non-commuting generators given by $Q^{(A)}$, with $A\subset \{1,2,3,4\}$ and their 5 linearly independent inversions generated by the algebra automorphism $q\rightarrow q^{-1}$, $E\leftrightarrow F.$ The set of generators can be split…                     A novel generalization of the Askey-Wilson algebra is presented and shown to be associated with coproducts in the quantum algebra $U_q(su(1,1))$. This algebra has 15 non-commuting generators given by $Q^{(A)}$, with $A\subset \{1,2,3,4\}$ and their 5 linearly independent inversions generated by the algebra automorphism $q\rightarrow q^{-1}$, $E\leftrightarrow F.$ The set of generators can be split into operators fixed under inversion, and those with an orientation under this inversion. We then show that the generators will either commute or satisfy q-commutator relations linear in the generators, with the restriction that parity operators commute with generators of opposite parity and the q-commutation relations are between those with the same parity. Finally, we give a novel algebra expression satisfied by the generators involving only the natural generators, i.e. those arising from the coupling scheme.",https://arxiv.org/pdf/1705.01860
,,Pattern Recognition Techniques for the Identification of Activities of Daily Living using Mobile Device Accelerometer,Ivan Miguel Pires,Susanna Spinsante,"This paper focuses on the recognition of Activities of Daily Living (ADL) applying pattern recognition techniques to the data acquired by the accelerometer available in the mobile devices. The recognition of ADL is composed by several stages, including data acquisition, data processing, and artificial intelligence methods. The artificial intelligence methods used are related to pattern recognition…                     This paper focuses on the recognition of Activities of Daily Living (ADL) applying pattern recognition techniques to the data acquired by the accelerometer available in the mobile devices. The recognition of ADL is composed by several stages, including data acquisition, data processing, and artificial intelligence methods. The artificial intelligence methods used are related to pattern recognition, and this study focuses on the use of Artificial Neural Networks (ANN). The data processing includes data cleaning, and the feature extraction techniques to define the inputs for the ANN. Due to the low processing power and memory of the mobile devices, they should be mainly used to acquire the data, applying an ANN previously trained for the identification of the ADL. The main purpose of this paper is to present a new method implemented with ANN for the identification of a defined set of ADL with a reliable accuracy. This paper also presents a comparison of different types of ANN in order to choose the type for the implementation of the final method. Results of this research probes that the best accuracies are achieved with Deep Learning techniques with an accuracy higher than 80%.",https://arxiv.org/pdf/1711.00096
,,Single-diffractive dijet production at high energies within the $k_t$ -factorization approach,Marta Luszczak,Antoni Szczurek,"We discuss single-diffractive production of dijets. The cross section is calculated for the first time in the $k_t$-factorization approach, neglecting transverse momentum of the pomeron. We use Kimber-Martin-Ryskin unintegrated parton (gluon, quark, antiquark) distributions (UPDF) both in the proton as well as in the pomeron or subleading reggeon. The UPDFs are calculated based on conventional MMH…                     We discuss single-diffractive production of dijets. The cross section is calculated for the first time in the $k_t$-factorization approach, neglecting transverse momentum of the pomeron. We use Kimber-Martin-Ryskin unintegrated parton (gluon, quark, antiquark) distributions (UPDF) both in the proton as well as in the pomeron or subleading reggeon. The UPDFs are calculated based on conventional MMHT2014nlo PDFs in the proton and H1 collaboration diffractive PDFs used previously in the analysis of diffractive structure function and dijets at HERA. We try to describe the existing data from Tevatron and make detailed predictions for possible LHC measurements.",https://arxiv.org/pdf/1711.00095
,,Data Fusion on Motion and Magnetic Sensors embedded on Mobile Devices for the Identification of Activities of Daily Living,Ivan Miguel Pires,Susanna Spinsante,"Several types of sensors have been available in off-the-shelf mobile devices, including motion, magnetic, vision, acoustic, and location sensors. This paper focuses on the fusion of the data acquired from motion and magnetic sensors, i.e., accelerometer, gyroscope and magnetometer sensors, for the recognition of Activities of Daily Living (ADL) using pattern recognition techniques. The system deve…                     Several types of sensors have been available in off-the-shelf mobile devices, including motion, magnetic, vision, acoustic, and location sensors. This paper focuses on the fusion of the data acquired from motion and magnetic sensors, i.e., accelerometer, gyroscope and magnetometer sensors, for the recognition of Activities of Daily Living (ADL) using pattern recognition techniques. The system developed in this study includes data acquisition, data processing, data fusion, and artificial intelligence methods. Artificial Neural Networks (ANN) are included in artificial intelligence methods, which are used in this study for the recognition of ADL. The purpose of this study is the creation of a new method using ANN for the identification of ADL, comparing three types of ANN, in order to achieve results with a reliable accuracy. The best accuracy was obtained with Deep Learning, which, after the application of the L2 regularization and normalization techniques on the sensors data, reports an accuracy of 89.51%.",https://arxiv.org/pdf/1711.07328
,,An optical metamixer,Sheng Liu,Igal Brener,"A frequency mixer is a nonlinear device that combines electromagnetic waves to create waves at new frequencies. Mixers are ubiquitous components in modern radio-frequency technology and are widely used in microwave signal processing. The development of versatile frequency mixers for optical frequencies remains challenging: such devices generally rely on weak nonlinear optical processes and, thus,…                     A frequency mixer is a nonlinear device that combines electromagnetic waves to create waves at new frequencies. Mixers are ubiquitous components in modern radio-frequency technology and are widely used in microwave signal processing. The development of versatile frequency mixers for optical frequencies remains challenging: such devices generally rely on weak nonlinear optical processes and, thus, must satisfy phase matching conditions. In this work, we utilize a GaAs-based dielectric metasurface to demonstrate an optical frequency mixer that concurrently generates eleven new frequencies spanning the ultraviolet to near-infrared (NIR) spectral range. Our approach combines strong intrinsic material nonlinearities, enhanced electromagnetic fields, and relaxed phase-matching requirements, to allow seven different nonlinear optical processes to occur simultaneously. Specifically, when pumped by two femtosecond NIR pulses, we observe second-, third- and fourth-harmonic generation, sum-frequency generation, two-photon absorption induced photoluminescence, four-wave mixing, and six-wave mixing. Such ultracompact optical mixers may enable a plethora of applications in biology, chemistry, sensing, communications and quantum optics.",https://arxiv.org/pdf/1711.00090
,,Theory of Activated Glassy Dynamics in Randomly Pinned Fluids,Anh D. Phan,Kenneth S. Schweizer,"…are argued to be due to the longer range collective elasticity aspect of the problem which is expected to be modified by random pinning in a complex manner. A qualitative physical scenario is offered for how the three distinct aspects that quantify the elastic barrier may change with pinning. ECNLE theory calculations of the alpha time are then presented bas…                     We generalize the force-level, microscopic, Nonlinear Langevin Equation (NLE) theory and its elastically collective generalization (ECNLE theory) of activated dynamics in bulk spherical particle liquids to address the influence of random particle pinning on structural relaxation. The simplest neutral confinement model is analyzed for hard spheres where there is no change of the equilibrium pair structure upon particle pinning. As the pinned fraction grows, cage scale dynamical constraints are intensified in a manner that increases with density. This results in the mobile particles becoming more transiently localized, with increases of the jump distance, cage scale barrier and NLE theory mean hopping time; subtle changes of the dynamic shear modulus are predicted. The results are contrasted with recent simulations. Similarities in relaxation behavior are identified in the dynamic precursor regime, including a roughly exponential, or weakly supra-exponential, growth of the alpha time with pinning fraction and a reduction of dynamic fragility. However, the increase of the alpha time with pinning predicted by the local NLE theory is too small, and severely so at very high volume fractions. The strong deviations are argued to be due to the longer range collective elasticity aspect of the problem which is expected to be modified by random pinning in a complex manner. A qualitative physical scenario is offered for how the three distinct aspects that quantify the elastic barrier may change with pinning. ECNLE theory calculations of the alpha time are then presented based on the simplest effective-medium-like treatment for how random pinning modifies the elastic barrier. The results appear to be consistent with most, but not all, trends seen in recent simulations. Key open problems are discussed with regards to both theory and simulation.",https://arxiv.org/pdf/1711.00086
,,Hong-Ou-Mandel Interference,Agata M. Brańczyk,Agata M. Brańczyk,"This article is a detailed introduction to Hong-Ou-Mandel (HOM) interference, in which two photons interfere on a beamsplitter in a way that depends on the photons' distinguishability. We begin by considering distinguishability in the polarization degree of freedom. We then consider spectral distinguishability, and show explicitly how to calculate the HOM dip for three interesting cases: 1) photon…                     This article is a detailed introduction to Hong-Ou-Mandel (HOM) interference, in which two photons interfere on a beamsplitter in a way that depends on the photons' distinguishability. We begin by considering distinguishability in the polarization degree of freedom. We then consider spectral distinguishability, and show explicitly how to calculate the HOM dip for three interesting cases: 1) photons with arbitrary spectral distributions, 2) spectrally entangled photons, and 3) spectrally mixed photons.",https://arxiv.org/pdf/1711.00080
,,Kaluza-Klein tower of masses in compactified Bose-Einstein condensates,Shay Leizerovitch,Benni Reznik,"We propose a method for using ultracold atomic Bose-Einstein condensates, to form an analog model of a scalar field in five dimensional space-time, where one of the spatial dimensions is compact. In the analog system the extra dimension is discrete, and realized using the internal degrees of freedom of the system. In the low energy regime, the Kaluza-Klein tower of masses is recovered, and the eff…                     We propose a method for using ultracold atomic Bose-Einstein condensates, to form an analog model of a scalar field in five dimensional space-time, where one of the spatial dimensions is compact. In the analog system the extra dimension is discrete, and realized using the internal degrees of freedom of the system. In the low energy regime, the Kaluza-Klein tower of masses is recovered, and the effective radius of the compact dimension is identified.",https://arxiv.org/pdf/1711.00078
,,DDCO: Discovery of Deep Continuous Options for Robot Learning from Demonstrations,Sanjay Krishnan,Ken Goldberg,"…specify the number of options to be discovered. We evaluate DDCO in simulation of a 3-link robot in the vertical plane pushing a block with friction and gravity, and in two physical experiments on the da Vinci surgical robot, needle insertion where a needle is grasped and inserted into a silicone tissue phantom, and needle bin picking where needles and pins…                     An option is a short-term skill consisting of a control policy for a specified region of the state space, and a termination condition recognizing leaving that region. In prior work, we proposed an algorithm called Deep Discovery of Options (DDO) to discover options to accelerate reinforcement learning in Atari games. This paper studies an extension to robot imitation learning, called Discovery of Deep Continuous Options (DDCO), where low-level continuous control skills parametrized by deep neural networks are learned from demonstrations. We extend DDO with: (1) a hybrid categorical-continuous distribution model to parametrize high-level policies that can invoke discrete options as well continuous control actions, and (2) a cross-validation method that relaxes DDO's requirement that users specify the number of options to be discovered. We evaluate DDCO in simulation of a 3-link robot in the vertical plane pushing a block with friction and gravity, and in two physical experiments on the da Vinci surgical robot, needle insertion where a needle is grasped and inserted into a silicone tissue phantom, and needle bin picking where needles and pins are grasped from a pile and categorized into bins. In the 3-link arm simulation, results suggest that DDCO can take 3x fewer demonstrations to achieve the same reward compared to a baseline imitation learning approach. In the needle insertion task, DDCO was successful 8/10 times compared to the next most accurate imitation learning baseline 6/10. In the surgical bin picking task, the learned policy successfully grasps a single object in 66 out of 99 attempted grasps, and in all but one case successfully recovered from failed grasps by retrying a second time.",https://arxiv.org/pdf/1710.05421
,,Multi-state discrimination below the quantum noise limit at the single-photon level,A. R. Ferdinand,F. E. Becerra,"Measurements approaching the ultimate quantum limits of sensitivity are central in quantum information processing, quantum metrology, and communication. Quantum measurements to discriminate multiple states at the single-photon level are essential for optimizing information transfer in low-power optical communications and quantum communications, and can enhance the capabilities of many quantum info…                     Measurements approaching the ultimate quantum limits of sensitivity are central in quantum information processing, quantum metrology, and communication. Quantum measurements to discriminate multiple states at the single-photon level are essential for optimizing information transfer in low-power optical communications and quantum communications, and can enhance the capabilities of many quantum information protocols. Here, we theoretically investigate and experimentally demonstrate the discrimination of multiple coherent states of light with sensitivities surpassing the quantum noise limit (QNL) at the single-photon level under realistic conditions of loss and noise based on strategies implementing globally-optimized adaptive measurements with single photon counting and displacement operations. These discrimination strategies can provide realistic advantages to enhance information transfer at low powers, and are compatible with photon number resolving detection, which provides robustness at high powers, thus allowing for surpassing the QNL at arbitrary input power levels under realistic conditions.",https://arxiv.org/pdf/1711.00074
,,Cooling and thermometry of atomic Fermi gases,Roberto Onofrio,Roberto Onofrio,"We review the status of cooling techniques aimed at achieving the deepest quantum degeneracy for atomic Fermi gases. We first discuss some physical motivations, providing a quantitative assessment of the need for deep quantum degeneracy in relevant physics cases, such as the search for unconventional superfluid states.…                     We review the status of cooling techniques aimed at achieving the deepest quantum degeneracy for atomic Fermi gases. We first discuss some physical motivations, providing a quantitative assessment of the need for deep quantum degeneracy in relevant physics cases, such as the search for unconventional superfluid states. Attention is then focused on the most widespread technique to reach deep quantum degeneracy for Fermi systems, sympathetic cooling of Bose-Fermi mixtures, organizing the discussion according to the specific species involved. Various proposals to circumvent some of the limitations on achieving the deepest Fermi degeneracy, and their experimental realizations, are then reviewed. Finally, we discuss the extension of these techniques to optical lattices and the implementation of precision thermometry crucial to the understanding of the phase diagram of classical and quantum phase transitions in Fermi gases.",https://arxiv.org/pdf/1711.00071
,,Comments on the Wave Energy Cascade,Douglas Dommermuth,Douglas Dommermuth,The gravity-wave energy cascade is investigated using the High-Order Spectral (HOS) method.                          The gravity-wave energy cascade is investigated using the High-Order Spectral (HOS) method.,https://arxiv.org/pdf/1710.09361
,,Twin lead ballistic conductor based on nanoribbon edge transport,Martin Konôpka,Peter Dieška,"If a device like a graphene nanoribbon (GNR) has all its four corners attached to electric current leads, the device becomes a quantum junction through which two electrical circuits can interact. We study such system theoretically for stationary currents. The 4-point energy-dependent conductance matrix of the nanostructure and the classical resistors in the circuits are parameters of the model. Th…                     If a device like a graphene nanoribbon (GNR) has all its four corners attached to electric current leads, the device becomes a quantum junction through which two electrical circuits can interact. We study such system theoretically for stationary currents. The 4-point energy-dependent conductance matrix of the nanostructure and the classical resistors in the circuits are parameters of the model. The two bias voltages in the circuits are the control variables of the studied system while the electrochemical potentials at the device's terminals are non-trivially dependent on the voltages. For the special case of the linear-response regime analytical formulae for the operation of the coupled quantum-classical device are derived and applied. For higher bias voltages numerical solutions are obtained. The effects of non-equilibrium Fermi levels are captured using a recursive algorithm in which self-consistency between the electrochemical potentials and the currents is reached within few iterations. The developed approach allows to study scenarios ranging from independent circuits to strongly coupled ones. For the chosen model of the GNR with highly conductive zigzag edges we determine the regime in which the single device carries two almost independent currents.",https://arxiv.org/pdf/1701.03815
,,Tunable axial potentials for atom chip waveguides,James A. Stickney,Matthew B. Squires,"We present a method for generating precise magnetic potentials that can be described by a polynomial series along the axis of a cold atom waveguide near the surface of an atom chip. With a single chip design consisting of several wire pairs, various axial potentials can be created by varying the ratio of the currents in the wires, including double wells, triple wells, and pure harmonic traps with…                     We present a method for generating precise magnetic potentials that can be described by a polynomial series along the axis of a cold atom waveguide near the surface of an atom chip. With a single chip design consisting of several wire pairs, various axial potentials can be created by varying the ratio of the currents in the wires, including double wells, triple wells, and pure harmonic traps with suppression of higher order terms. We use this method to design and fabricate a chip with modest experimental requirements. Finally, we use the chip to demonstrate a double well potential.",https://arxiv.org/pdf/1407.6398
,,Topological quantum friction,M. Belén Farias,Diego A. R. Dalvit,"We develop the theory of quantum friction in two-dimensional topological materials. The quantum drag force on a metallic nanoparticle moving above such systems is sensitive to the non-trivial topology of their electronic phases, shows a novel distance scaling law, and can be manipulated through doping or via the application of external fields. We use the developed framework to investigate quantum…                     We develop the theory of quantum friction in two-dimensional topological materials. The quantum drag force on a metallic nanoparticle moving above such systems is sensitive to the non-trivial topology of their electronic phases, shows a novel distance scaling law, and can be manipulated through doping or via the application of external fields. We use the developed framework to investigate quantum friction due to the quantum Hall effect in magnetic field biased graphene, and to topological phase transitions in the graphene family materials. It is shown that topologically non-trivial states in two-dimensional materials enable an increase of two orders of magnitude in the quantum drag force with respect to conventional neutral graphene systems.",https://arxiv.org/pdf/1711.00063
,,Statistical Angles on the Lattice QCD Signal-to-Noise Problem,Michael L. Wagman,Michael L. Wagman,"The theory of quantum chromodynamics (QCD) encodes the strong interactions that bind quarks and gluons into nucleons and that bind nucleons into nuclei. Predictive control of QCD would allow nuclear structure and reactions as well as properties of supernovae and neutron stars to be theoretically studied from first principles. Lattice QCD can represent generic QCD predictions in terms of well-defin…                     The theory of quantum chromodynamics (QCD) encodes the strong interactions that bind quarks and gluons into nucleons and that bind nucleons into nuclei. Predictive control of QCD would allow nuclear structure and reactions as well as properties of supernovae and neutron stars to be theoretically studied from first principles. Lattice QCD can represent generic QCD predictions in terms of well-defined path integrals, but the sign and signal-to-noise problems have obstructed lattice QCD calculations of large nuclei and nuclear matter in practice. This thesis presents a statistical study of lattice QCD correlation functions, with a particular focus on characterizing the structure of the noise associated with quantum fluctuations. The signal-to-noise problem in baryon correlation functions is demonstrated to arise from a sign problem associated with Monte Carlo sampling of complex correlation functions. The phases of complex correlation functions are analyzed in the framework of circular statistics, and the time evolution of the phase is shown to resemble a heavy-tailed random walk on the unit circle. Building on these observations, a new technique called phase reweighting is investigated that involves calculations of phase differences over fixed-length time intervals. Phase reweighting allows results for hadronic observables to be extracted from large-time correlation functions with constant signal-to-noise ratios. The signal-to-noise problem re-emerges as the length of the phase-difference interval is increased. Applications of phase reweighting to meson, baryon, and two-baryon systems are discussed.",https://arxiv.org/pdf/1711.00062
,,Projective simulation with generalization,Alexey A. Melnikov,Hans J. Briegel,"…for generalization, and present a dynamic and autonomous machinery that enables projective simulation agents to meaningfully generalize. Projective simulation, a novel, physical approach to artificial intelligence, was recently shown to perform well in standard reinforcement learning problems, with applications in advanced robotics as well as quantum experim…                     The ability to generalize is an important feature of any intelligent agent. Not only because it may allow the agent to cope with large amounts of data, but also because in some environments, an agent with no generalization capabilities cannot learn. In this work we outline several criteria for generalization, and present a dynamic and autonomous machinery that enables projective simulation agents to meaningfully generalize. Projective simulation, a novel, physical approach to artificial intelligence, was recently shown to perform well in standard reinforcement learning problems, with applications in advanced robotics as well as quantum experiments. Both the basic projective simulation model and the presented generalization machinery are based on very simple principles. This allows us to provide a full analytical analysis of the agent's performance and to illustrate the benefit the agent gains by generalizing. Specifically, we show that already in basic (but extreme) environments, learning without generalization may be impossible, and demonstrate how the presented generalization machinery enables the projective simulation agent to learn.",https://arxiv.org/pdf/1504.02247
,,Staging of RF-accelerating units in a MEMS-based ion accelerator,A. Persaud,A. Lal,"Multiple Electrostatic Quadrupole Array Linear Accelerators (MEQALACs) provide an opportunity to realize compact radio-frequency (RF) accelerator structures that can deliver very high beam currents. MEQALACs have been previously realized with acceleration gap distances and beam aperture sizes of the order of centimeters. Through advances in Micro-Electro-Mechanical Systems (MEMS) fabrication, MEQA…                     Multiple Electrostatic Quadrupole Array Linear Accelerators (MEQALACs) provide an opportunity to realize compact radio-frequency (RF) accelerator structures that can deliver very high beam currents. MEQALACs have been previously realized with acceleration gap distances and beam aperture sizes of the order of centimeters. Through advances in Micro-Electro-Mechanical Systems (MEMS) fabrication, MEQALACs can now be scaled down to the sub-millimeter regime and batch processed on wafer substrates. In this paper, we show first results from using three RF stages in a compact MEMS-based ion accelerator. The results presented show proof-of-concept with accelerator structures formed from printed circuit boards using a 3x3 beamlet arrangement and noble gas ions at 10 keV. We present a simple model to describe the measured results. The model is then used to examine some of the aspects of this approach, such as possible effects of alignment errors. We also discuss some of the scaling behaviour of a compact MEQALAC. The MEMS-based approach enables a low-cost, highly versatile accelerator covering a wide range of beam energies and currents. Applications include ion-beam analysis, mass spectrometry, materials processing, and at very high beam powers, plasma heating.",https://arxiv.org/pdf/1702.00460
,,Radial confinement of deeply trapped particles in a non-symmetric magnetohydrodynamic equlibrium,Wrick Sengupta,Harold Weitzner,"Quasisymmetry and omnigeneity of an equilibrium magnetic field are two distinct properties proposed to ensure radial localization of collisionless trapped particles in any stellarator. These constraints are incompletely explored, but have stringent restrictions on a magnetic geometry. This work employs an analytic approach to understand the implications of the constraints. The particles move in an…                     Quasisymmetry and omnigeneity of an equilibrium magnetic field are two distinct properties proposed to ensure radial localization of collisionless trapped particles in any stellarator. These constraints are incompletely explored, but have stringent restrictions on a magnetic geometry. This work employs an analytic approach to understand the implications of the constraints. The particles move in an intrinsically three dimensional equilibrium whose representation is given by earlier work of Weitzner and its extension here. For deeply trapped particles a local equilibrium expansion around a minimum of the magnetic field strength along a magnetic line suffices. This analytical non-symmetric equilibrium solution, enables explicit representation of the constraints. The results show that it is far easier to satisfy the omnigeneity condition than the quasisymmetry requirement. Correspondingly, there exists a large class of equilibrium close to quasisymmetry that remain omnigeneous while allowing inclusion of error fields, which may destroy quasisymmetry.",https://arxiv.org/pdf/1711.00059
,,A Theoretical Solution of the Mind-Body Problem: An Operationalized Proof that no Purely Physical System Can Exhibit all the Properties of Human Consciousness,Catherine Reason,Catherine Reason,"…humans to ""know"" with certainty that they are conscious. This operation is shown to be inconsistent with the properties possible in any meaningful definition of a physical system. This inconsistency is demonstrated by proving a ""no-go"" theorem for any…                     This article presents an operationalized solution to the mind-body problem which relies on rigorously defined theoretical reasoning rather than philosophical argument. We identify a specific operation which is a necessary property of all healthy human conscious individuals -- specifically the operation of self-certainty, or the capacity of healthy conscious humans to ""know"" with certainty that they are conscious. This operation is shown to be inconsistent with the properties possible in any meaningful definition of a physical system. This inconsistency is demonstrated by proving a ""no-go"" theorem for any physical system capable of human logical reasoning, if this reasoning is required to be both sound and consistent. The proof of this theorem is both general -- it applies to any function whereby evidence affects the state of some physical system -- and recursive, since any physical process subserving a function of this type is shown to imply another such function. Thus for at least one aspect of human consciousness, the mind-body problem is now conclusively resolved.",https://arxiv.org/pdf/1706.04192
,,Characterizing simplified models for heavy Higgs decays to supersymmetric particles,Suchita Kulkarni,Lukas Lechner,"The search for heavy Higgs bosons is an important step to probe the parameter space of the Minimal Supersymmetric Standard Model. In this work, we classify all possible decay modes of the supersymmetric heavy Higgs boson using the SModelS framework. We work within the phenomenological MSSM and use the ATLAS pMSSM study as our viable parameter space. We find that for a bino-like and higgsino-like L…                     The search for heavy Higgs bosons is an important step to probe the parameter space of the Minimal Supersymmetric Standard Model. In this work, we classify all possible decay modes of the supersymmetric heavy Higgs boson using the SModelS framework. We work within the phenomenological MSSM and use the ATLAS pMSSM study as our viable parameter space. We find that for a bino-like and higgsino-like LSP, a significant region of the parameter space results in mono-$X$ ($X$ = $h$, $W$, $Z$) final states. For wino-like LSPs, we demonstrate the existence of displaced vertex signatures with a large signal cross section. Finally, we argue that by covering the mono-$X$ final states, a large part of heavy Higgs decays can be tested at the LHC.",https://arxiv.org/pdf/1711.00056
,,Berry Phase and Anomalous Transport of the Composite Fermions at the Half-Filled Landau Level,W. Pan,D. C. Tsui,"The fractional quantum Hall effect (FQHE) in two-dimensional electron system (2DES) is an exotic, superfluid-like matter with an emergent topological order. From the consideration of Aharonov-Bohm interaction of electrons and magnetic field, the ground state of a half-filled lowest Landau level is mathematically transformed to a Fermi sea of composite objects of electrons bound to two flux quanta,…                     The fractional quantum Hall effect (FQHE) in two-dimensional electron system (2DES) is an exotic, superfluid-like matter with an emergent topological order. From the consideration of Aharonov-Bohm interaction of electrons and magnetic field, the ground state of a half-filled lowest Landau level is mathematically transformed to a Fermi sea of composite objects of electrons bound to two flux quanta, termed composite fermions (CFs). A strong support for the CF theories comes from experimental confirmation of the predicted Fermi surface at $ν$ = 1/2 (where $ν$ is the Landau level filling factor) from the detection of the Fermi wave vector in the semi-classical geometrical resonance experiments. Recent developments in the theory of CFs have led to a prediction of a $π$ Berry phase for the CF circling around the Fermi surface at half-filling. In this paper we provide the first experimental evidence for the detection of the Berry phase of CFs in the fractional quantum Hall effect. Our measurements of the Shubnikov-de Haas oscillations of CFs as a function carrier density at a fixed magnetic field provide a strong support for an existence of a $π$ Berry phase at $ν$ = 1/2. We also discover that the conductivity of composite fermions at $ν$ = 1/2 displays an anomalous linear density dependence, whose origin remains mysterious yet tantalizing.",https://arxiv.org/pdf/1702.07307
